partnerstva	partnerstvo	Ncnpn
i	i	Cc
javni	javan	Agpmpny
proizvođači	proizvođač	Ncmpn
,	,	Z
osim	osim	Sg
onih	onaj	Pd-fpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.46.	2.46.	Mds
točaka	točka	Ncfpg
(	(	Z
a	a	Cc
)	)	Z
,	,	Z
(	(	Z
b	b	Y
)	)	Z
,	,	Z
(	(	Z
c	C	Npmsn
)	)	Z
i	i	Cc
(	(	Z
f	f	X
)	)	Z
i	i	Cc
poduzeća	poduzeće	Ncnsg
s	sa	Si
jednim	jedan	Mlcmsi
vlasnikom	vlasnik	Ncmsi
‒	‒	Z
čak	čak	Qo
i	i	Qo
ako	ako	Cs
vode	voditi	Vmr3p
potpuni	potpun	Agpmsayn
skup	skup	Ncmsan
računa	računati	Vmr3s
‒	‒	Z
općenito	preopćenito	Rgp
ne	ne	Qz
predstavljaju	predstavljati	Vmr3p
zasebne	zaseban	Agpfpny
institucionalne	institucionalan	Agpfpny
jedinice	jedinica	Ncfpn
,	,	Z
budući	budući	Cs
da	da	Cs
ne	ne	Qz
donose	donositi	Vmr3p
samostalno	samostalno	Rgp
odluke	odluka	Ncfpa
,	,	Z
a	a	Cc
njihovo	njihov	Ps3nsn
upravljanje	upravljanje	Ncnsn
nadziru	nadzirati	Vmr3p
kućanstva	kućanstvo	Ncnpa
,	,	Z
neprofitne	neprofitan	Agpfsgy
ustanove	ustanova	Ncfsg
ili	ili	Cc
vlade	vlada	Ncfsg
u	u	Sl
čijem	čiji	Pi-nsl
su	biti	Var3p
vlasništvu	vlasništvo	Ncnsl
.	.	Z

2.49.	2.49.	Mdo

Nefinancijska	nefinancijski	Agpnpny
društva	društvo	Ncnpn
uključuju	uključivati	Vmr3p
uvjetno	uvjetno	Rgp
rezidentne	rezidentan	Agpfpny
jedinice	jedinica	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
tretiraju	tretirati	Vmr3p
kao	kao	Cs
kvazi-društva	kvazi-društva	Ncfsn
.	.	Z

2.50.	2.50.	Mdo

Sektor	sektor	Ncmsn
nefinancijskih	nefinancijski	Agpnpgy
društava	društvo	Ncnpg
se	sebe	Px--sa
dijeli	dijeliti	Vmr3s
na	na	Sa
tri	tri	Mlc
podsektora	podsektor	Ncmsg
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
javna	javan	Agpnpay
nefinancijska	nefinancijski	Agpnpay
društva	društvo	Ncnpa
(	(	Z
S.	S.	Y
11001	11001	Mdc
)	)	Z
;	;	Z

(	(	Z
b	b	X
)	)	Z
nacionalna	nacionalan	Agpfsny
privatna	privatan	Agpfsny
nefinancijska	nefinancijski	Agpnpay
društva	društvo	Ncnpa
(	(	Z
S.	S.	Y
11002	11002	Mdc
)	)	Z
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
inozemno	inozemno	Rgp
kontrolirana	kontrolirati	Agpnpny
nefinancijska	nefinancijski	Agpnpny
društva	društvo	Ncnpn
(	(	Z
S.	S.	Y
11003	11003	Mdc
)	)	Z
.	.	Z

Javna	javan	Agpnpny
nefinancijska	nefinancijski	Agpnpay
društva	društvo	Ncnpa
(	(	Z
S.	S.	Y
11001	11001	Mdc
)	)	Z

2.51.	2.51.	Mdo

Definicija	definicija	Ncfsn
:	:	Z
podsektor	podsektor	Ncmsn
javnih	javan	Agpnpgy
nefinancijskih	nefinancijski	Agpnpgy
