povredom	povreda	Ncfsi
ZZTN-a	ZZTN	Npmsg
,	,	Z
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
to	taj	Pd-nsn
utvrditi	utvrditi	Vmn
posebnim	poseban	Agpnsiy
rješenjem	rješenje	Ncnsi
kojim	koji	Pi-msi
će	htjeti	Var3s
se	sebe	Px--sa
izreći	izreći	Vmn
i	i	Cc
upravno-kaznena	upravno-kaznen	Agpfsny
mjera	mjera	Ncfsn
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
ZZTN-a	ZZTN	Npmsg
.	.	Z

Slijedom	slijed	Sg
svega	sav	Agpnsgy
navedenog	naveden	Agpnsgy
,	,	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
,	,	Z
odlučila	odlučiti	Vmp-sf
kao	kao	Cs
u	u	Sl
točkama	točka	Ncfpl
1.	1.	Mdo
do	do	Sg
6.	6.	Mdo
izreke	izreka	Ncfsg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

3.2.	3.2.	Mdo

Prijedlog	prijedlog	Ncmsn
stranke	stranka	Ncfsg
u	u	Sl
postupku	postupak	Ncmsl
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
,	,	Z
te	te	Cc
rokova	rok	Ncmpg
u	u	Sa
svrhu	svrha	Ncfsa
otklanjanja	otklanjanje	Ncnsg
negativnih	negativan	Agpmpgy
učinaka	učinak	Ncmpg
njenog	njen	Agpnsgy
postupanja	postupanje	Ncnsg
ili	ili	Cc
propuštanja	propuštanje	Ncnsg
postupanja	postupanje	Ncnsg
na	na	Sa
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
i	i	Cc
rješenje	rješenje	Ncnsa
Agencije	agencija	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
predloženih	predložen	Agpfpgy
mjera	mjera	Ncfpg
,	,	Z
uvjeta	uvjet	Ncmpg
i	i	Cc
rokova	rok	Ncmpg
koji	koji	Pi-mpn
postaju	postati	Vmr3p
obvezni	obvezan	Agpmpny
za	za	Sa
predlagatelja	predlagatelj	Ncmsay
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ZZTN-a	zztn-	Ncmsg
podliježe	podlijegati	Vmr3s
naplati	naplata	Ncfsl
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
,	,	Z
sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
2.	2.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
8/96	8/96	Mds
,	,	Z
77/96	77/96	Mdc
,	,	Z
95/97	95/97	Mdc
,	,	Z
131/97	131/97	Mdc
,	,	Z
68/98	68/98	Mdc
,	,	Z
66/99	66/99	Mdc
,	,	Z
145/99	145/99	Mdc
,	,	Z
116/00	116/00	Mdc
,	,	Z
163/03	163/03	Mdc
,	,	Z
17/04	17/04	Mdc
,	,	Z
110/04	110/04	Mdc
;	;	Z
141/04	141/04	Mdc
,	,	Z
150/05	150/05	Mdc
,	,	Z
153/05	153/05	Mdc
,	,	Z
129/06	129/06	Mdc
,	,	Z
117/07	117/07	Mdc
,	,	Z
25/08	25/08	Mdc
,	,	Z
60/08	60/08	Mdc
,	,	Z
20/10	20/10	Mdc
,	,	Z
69/10	69/10	Mdc
i	i	Cc
126/11	126/11	Mdc
;	;	Z
dalje	daleko	Rgc
:	:	Z
Zakon	zakon	Ncmsn
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
)	)	Z
,	,	Z
te	te	Cc
članka	članak	Ncmsg
3.	3.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
izmjenama	izmjena	Ncfpl
Tarife	tarifa	Ncfsg
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
iz	iz	Sg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
126/2011	126/2011	Mds
;	;	Z
dalje	daleko	Rgc
:	:	Z
Uredba	uredba	Ncfsn
o	o	Sl
izmjeni	izmjena	Ncfsl
Tarife	tarifa	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
)	)	Z
.	.	Z

Prijedlog	prijedlog	Ncmsn
stranke	stranka	Ncfsg
u	u	Sl
postupku	postupak	Ncmsl
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
,	,	Z
