obavljanje	obavljanje	Ncnsn
djelatnosti	djelatnost	Ncfsg
i	i	Cc
primjerak	primjerak	Ncmsn
propisane	propisati	Agpfsgy
ploče	ploča	Ncfsg
s	sa	Si
izjavom	izjava	Ncfsi
o	o	Sl
istovjetnosti	istovjetnost	Ncfsl
s	sa	Si
grafičkim	grafički	Agpmpiy
rješenjima	rješenje	Ncmpi
i	i	Cc
tehničkim	tehnički	Agpmply
uvjetima	uvjet	Ncmpl
propisanim	propisati	Appmply
u	u	Sl
Prilogu	Prilog	Npmsl
V.	va	Ncfsl
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Primjerak	primjerak	Ncmsn
propisane	propisati	Agpfsgy
ploče	ploča	Ncfsg
potrebno	potreban	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
za	za	Sa
svaku	svaki	Pi-fsa
vrstu	vrsta	Ncfsa
koju	koji	Pi-fsa
proizvođač	proizvođač	Ncmsn
želi	željeti	Vmr3s
proizvoditi	proizvoditi	Vmn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
suglasnost	suglasnost	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nije	biti	Var3s
dužan	dužan	Agpmsnn
pribaviti	pribaviti	Vmn
proizvođač	proizvođač	Ncmsn
ploča	ploča	Ncfpg
koji	koji	Pi-msn
iste	isti	Agpfsgy
proizvodi	proizvoditi	Vmr3s
temeljem	temelj	Ncmsi
ranije	rano	Rgc
sklopljenih	sklopiti	Agpmpgy
ugovora	ugovor	Ncmpg
s	sa	Si
Ministarstvom	ministarstvo	Ncnsi
.	.	Z

3.	3.	Mdo
VRSTE	vrsta	Ncfsg
OBJEKATA	objekt	Ncmpg
I	i	Cc
UVJETI	uvjet	Ncmpn
ZA	za	Sa
VRSTE	vrsta	Ncfpa

Članak	članak	Ncmsn
16.	16.	Mdo

Objekti	objekt	Ncmpn
u	u	Sl
domaćinstvu	domaćinstvo	Ncnsl
razvrstani	razvrstati	Appmpny
su	biti	Var3p
sukladno	sukladno	Rgp
obveznim	obvezan	Agpfpiy
ugostiteljskim	ugostiteljski	Agpfply
uslugama	usluga	Ncfpl
u	u	Sa
vrste	vrsta	Ncfpa
:	:	Z

1.	1.	Mdo
Soba	soba	Ncfsn
,	,	Z

2.	2.	Mdo
Apartman	apartman	Ncmsan
,	,	Z

3.	3.	Mdo
Studio	studio	Ncmsn
apartman	apartman	Ncmsan
,	,	Z

4.	4.	Mdo
