kontrolira	kontrolirati	Vmr3s
subjekte	subjekt	Ncmpa
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
od	od	Sg
drugog	drugi	Agpnsgy
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
zatražiti	zatražiti	Vmn
:	:	Z

1.	1.	Mdo
sve	sav	Agpmpay
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
joj	on	Pp3fsd
potrebni	potreban	Agpmpny
za	za	Sa
procjenu	procjena	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
82.	82.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
ostale	ostali	Agpmpay
podatke	podatak	Ncmpa
kojima	koji	Pi-mpi
drugo	drugi	Mlonsn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
raspolaže	raspolagati	Vmr3s
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
bi	biti	Vaa3p
mogli	moći	Vmp-pm
biti	biti	Van
važni	važan	Agpmpny
za	za	Sa
procjenu	procjena	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
82.	82.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc

3.	3.	Mdo
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
primjereno	primjeren	Agpnsny
,	,	Z
mišljenje	mišljenje	Ncnsn
drugog	drugi	Mlomsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
namjeravanom	namjeravati	Agpmsly
stjecatelju	stjecatelj	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
tijelo	tijelo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
namjeravanog	namjeravati	Ncnsa
stjecatelja	stjecatelj	Ncmpg
uz	uz	Sa
podatke	podatak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
iznese	iznijeti	Vmr3s
mišljenje	mišljenje	Ncnsa
,	,	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
to	taj	Pd-nsa
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
pri	pri	Sl
donošenju	donošenje	Ncnsl
odluke	odluka	Ncfsg
o	o	Sl
namjeravanom	namjeravati	Agpnsly
stjecanju	stjecanje	Ncnsl
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
.	.	Z

Članak	članak	Ncmsn
80.	80.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
radna	radni	Agpmsgn
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
stjecanje	stjecanje	Ncnsa
ili	ili	Cc
povećanje	povećanje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
,	,	Z
namjeravanog	namjeravati	Agpmsayy
stjecatelja	stjecatelj	Ncmsay
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
obavijestiti	obavijestiti	Vmn
o	o	Sl
primitku	primitak	Ncmsl
istoga	isti	Ncmsg
,	,	Z
s	sa	Si
naznakom	naznaka	Ncfsi
datuma	datum	Ncmsg
na	na	Sa
koji	koji	Pi-msan
istječe	istjecati	Vmr3s
razdoblje	razdoblje	Ncnsa
procjene	procjena	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
procjenu	procjena	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
82.	82.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
izvršiti	izvršiti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
60	60	Mdc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
slanja	slanje	Ncnsg
obavijesti	obavijest	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
(	(	Z
razdoblje	razdoblje	Ncnsn
procjene	procjena	Ncfsg
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
radna	radni	Agpmsgn
dana	dan	Ncmsg
od	od	Sg
zaprimanja	zaprimanje	Ncnsg
svakog	svaki	Pi-msg
dodatnog	dodatan	Agpmsgy
podatka	podatak	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
81.	81.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
namjeravanog	namjeravati	Agpmsgy
stjecatelja	stjecatelj	Ncmsg
obavijestiti	obavijestiti	Vmn
o	o	Sl
primitku	primitak	Ncmsl
takve	takav	Pd-fsg
dopune	dopuna	Ncfsg
,	,	Z
s	sa	Si
naznakom	naznaka	Ncfsi
novog	nov	Agpmsgy
datuma	datum	Ncmsg
na	na	Sa
koji	koji	Pi-msan
istječe	istjecati	Vmr3s
razdoblje	razdoblje	Ncnsa
procjene	procjena	Ncfsg
.	.	Z

Članak	članak	Ncmsn
81.	81.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
procjene	procjena	Ncfsg
,	,	Z
ali	ali	Cc
ne	ne	Qz
kasnije	kasno	Rgc
od	od	Sg
pedesetog	pedeseti	Agpmsgy
radnog	radni	Agpmsgy
dana	dan	Ncmsg
razdoblja	razdoblje	Ncnsg
procjene	procjena	Ncfsg
,	,	Z
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
zatražiti	zatražiti	Vmn
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
potrebne	potreban	Agpfpny
za	za	Sa
dovršenje	dovršenje	Ncnsa
procjene	procjena	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Razdoblje	razdoblje	Ncnsn
procjene	procjena	Ncfsg
prekida	prekidati	Vmr3s
se	sebe	Px--sa
od	od	Sg
dana	dan	Ncmpg
kada	kada	Rgp
je	biti	Var3s
Agencija	agencija	Ncfsn
zatražila	zatražiti	Vmp-sf
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
