Zagrebu	zagrepsti	Vmr3p
,	,	Z
niti	niti	Cc
je	biti	Var3s
do	do	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
ustavnosudskom	ustavnosudski	Agpmsly
predmetu	predmet	Ncmsl
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
o	o	Sl
podnositeljevoj	podnositeljev	Agpfsly
žalbi	žalba	Ncfsl
.	.	Z

Također	također	Rgp
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
ministar	ministar	Ncmsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
92.	92.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
patentima	patent	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
:	:	Z
173/03.	173/03.	Mdo
,	,	Z
87/05.	87/05.	Mds
,	,	Z
76/07.	76/07.	Mds
,	,	Z
30/09.	30/09.	Mds
,	,	Z
128/10.	128/10.	Mdo
,	,	Z
49/11.	49/11.	Mds
i	i	Cc
76/13	76/13	Mdc
)	)	Z
,	,	Z
17.	17.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
donio	donijeti	Vmp-sm
Odluku	odluka	Ncfsa
o	o	Sl
imenovanju	imenovanje	Ncnsl
predsjednika	predsjednik	Ncmsg
,	,	Z
zamjenika	zamjenik	Ncmpg
predsjednika	predsjednik	Ncmpg
i	i	Cc
članova	član	Ncmpg
Žalbenih	žalbeni	Agpnpgy
vijeća	vijeće	Ncnpg
u	u	Sl
području	područje	Ncnsl
prava	pravo	Ncnsg
industrijskog	industrijski	Agpnsgy
vlasništva	vlasništvo	Ncnsg
.	.	Z

4	4	Mdc
)	)	Z
Ponašanje	ponašanje	Ncnsn
podnositelja	podnositelj	Ncmpg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg

14.	14.	Mdo

Podnositelj	podnositelj	Ncmsn
,	,	Z
nije	biti	Var3s
pridonio	pridonijeti	Vmp-sm
duljini	duljina	Ncfsl
postupka	postupak	Ncmsg
.	.	Z

Štoviše	štoviše	Rgp
,	,	Z
kao	kao	Cs
stranka	stranka	Ncfsn
u	u	Sl
postupku	postupak	Ncmsl
bio	biti	Vap-sm
je	biti	Var3s
aktivan	aktivan	Agpmsnn
i	i	Cc
pokazao	pokazati	Vmp-sm
je	biti	Var3s
brigu	briga	Ncfsa
za	za	Sa
predmet	predmet	Ncmsan
spora	spor	Ncmsg
.	.	Z

VI	VI	Mrc
.	.	Z

OCJENA	ocjena	Ncfsn
USTAVNOG	ustavan	Agpmsgy
SUDA	sud	Ncmsg

15.	15.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
su	biti	Var3p
u	u	Sl
pravnoj	pravni	Agpfsly
stvari	stvar	Ncfsl
podnositelja	podnositelj	Ncmsg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
(	(	Z
u	u	Sl
pravno	pravno	Rgp
relevantnom	relevantan	Agpnsly
razdoblju	razdoblje	Ncnsl
)	)	Z
upravni	upravan	Agpmsny
spor	spor	Ncmsn
i	i	Cc
upravni	upravan	Agpmsayn
postupak	postupak	Ncmsan
ukupno	ukupno	Rgp
trajali	trajati	Vmp-pm
preko	preko	Sg
četiri	četiri	Mlc
(	(	Z
4	4	Mdc
)	)	Z
godine	godina	Ncfsg
i	i	Cc
da	da	Cs
do	do	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
predmetni	predmetni	Agpmsny
upravni	upravan	Agpmsny
postupak	postupak	Ncmsn
nije	biti	Var3s
okončan	okončati	Appmsnn
.	.	Z

Imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
ukupnu	ukupan	Agpfsay
duljinu	duljina	Ncfsa
postupka	postupak	Ncmsg
,	,	Z
činjenicu	činjenica	Ncfsa
da	da	Cs
predmet	predmet	Ncmsn
još	još	Rgp
nije	biti	Var3s
okončan	okončati	Agpmsnn
,	,	Z
te	te	Cc
neaktivnost	neaktivnost	Ncfsn
Žalbenog	žalbeni	Agpnsgy
vijeća	vijeće	Ncnsg
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
da	da	Cs
je	biti	Var3s
podnositelju	podnositelj	Ncmsl
povrijeđeno	povrijeđen	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
pravično	pravičan	Agpnsay
suđenje	suđenje	Ncnsa
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
razumnu	razuman	Agpfsay
duljinu	duljina	Ncfsa
postupka	postupak	Ncmsg
,	,	Z
zajamčeno	zajamčiti	Appnsny
člankom	članak	Ncmsi
29.	29.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
.	.	Z

1	1	Mdc
)	)	Z
Izreka	izreka	Ncfsn
odluke	odluka	Ncfsg
i	i	Cc
nalog	nalog	Ncmsan
Žalbenom	žalbeni	Agpnsly
vijeću	vijeće	Ncnsl
u	u	Sl
području	područje	Ncnsl
prava	pravo	Ncnsg
industrijskog	industrijski	Agpnsgy
vlasništva	vlasništvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

16.	16.	Mdo

Utvrdivši	utvrditi	Rr
da	da	Cs
je	biti	Var3s
ustavna	ustavan	Agpfsny
tužba	tužba	Ncfsn
osnovana	osnovati	Appfsny
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
63.	63.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
