roštilj	roštilj	Ncmsn
,	,	Z
peka	peka	Ncfsn
,	,	Z
gradele	gradeti	Vmp-pf
,	,	Z
krušna	krušni	Agpfsny
peć	peć	Ncfsn
,	,	Z
rašlje	rašlje	Ncfpa
,	,	Z
kotao	kotao	Ncmsan
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
OPG	OPG	Npmsn
može	moći	Vmr3s
pripremati	pripremati	Vmn
jela	jelo	Ncnpa
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitke	napitak	Ncmpa
na	na	Sl
obiteljskom	obiteljski	Agpnsly
poljoprivrednom	poljoprivredni	Agpnsly
gospodarstvu	gospodarstvo	Ncnsl
i	i	Cc
iste	isti	Agpfsgy
usluživati	usluživati	Vmn
na	na	Sl
uređenom	uređen	Agpmsly
prostoru	prostor	Ncmsl
na	na	Sl
otvorenom	otvoren	Agpnsly
(	(	Z
trava	trava	Ncfsn
,	,	Z
kamen	kamen	Ncmsn
,	,	Z
terasa	terasa	Ncfsn
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
i	i	Cc
/	/	Z
ili	ili	Cc
u	u	Sl
tradicijskim	tradicijski	Agpmply
objektima	objekt	Ncmpl
u	u	Sl
funkciji	funkcija	Ncfsl
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
(	(	Z
klijet	klijet	Ncmsn
,	,	Z
pastirska	pastirski	Agpfsny
koliba	koliba	Ncfsn
,	,	Z
katun	katun	Ncmsn
,	,	Z
kažun	kažun	Ncmsan
,	,	Z
ribarska	ribarski	Agpfsny
koliba	koliba	Ncfsn
,	,	Z
štagalj	štagalj	Ncmsn
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uređen	uređen	Agpmsann
prostor	prostor	Ncmsan
na	na	Sl
otvorenom	otvoren	Agpnsly
i	i	Cc
tradicijski	tradicijski	Agpmpny
objekti	objekt	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
mogu	moći	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
na	na	Sa
OPG-u	OPG	Npmsl
ili	ili	Cc
u	u	Sl
ruralnom	ruralan	Agpnsly
