dostaviti	dostaviti	Vmn
presliku	preslika	Ncfsa
rješenja	rješenje	Ncnsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
kojim	koji	Pi-msi
je	biti	Var3s
odobren	odobriti	Appmsnn
šumskogospodarski	šumskogospodarski	Agpmsny
plan	plan	Ncmsn
ili	ili	Cc
potvrdu	potvrda	Ncfsa
Savjetodavne	savjetodavan	Agpfsgy
službe	služba	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
odobren	odobriti	Appmsnn
jednakovrijedni	jednakovrijedan	Agpmsny
instrument	instrument	Ncmsn
s	sa	Si
kojim	koji	Pi-msi
je	biti	Var3s
predmetno	predmetni	Agpnsny
ulaganje	ulaganje	Ncnsn
usklađeno	uskladiti	Appnsny
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

1.	1.	Mdo
za	za	Sa
šume	šuma	Ncfpa
šumoposjednika	šumoposjednik	Ncmpg
,	,	Z
ulaganje	ulaganje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
programom	program	Ncmsi
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
šumama	šuma	Ncfpi
šumoposjednika	šumoposjednik	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
elaboratom	elaborat	Ncmsi
šumskouzgojnih	šumskouzgojan	Agpmpgy
radova	rad	Ncmpg
za	za	Sa
šume	šuma	Ncfpa
šumoposjednika	šumoposjednik	Ncmpg
i	i	Cc

2.	2.	Mdo
za	za	Sa
šume	šuma	Ncfpa
i	i	Cc
šumska	šumski	Agpnpay
zemljišta	zemljište	Ncnpa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
ulaganje	ulaganje	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
osnovom	osnova	Ncfsi
gospodarenja	gospodarenje	Ncnsg
gospodarskim	gospodarski	Agpfpiy
jedinicama	jedinica	Ncfpi
i	i	Cc
/	/	Z
ili	ili	Cc
programom	program	Ncmsi
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
gospodarskim	gospodarski	Agpfpiy
jedinicama	jedinica	Ncfpi
na	na	Sl
kršu	krš	Ncmsl
i	i	Cc
/	/	Z
ili	ili	Cc
programom	program	Ncmsi
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
šumama	šuma	Ncfpi
posebne	poseban	Agpfsgy
namjene	namjena	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nepropisanih	nepropisan	Agpmpgy
radova	rad	Ncmpg
izgradnje	izgradnja	Ncfsg
primarne	primaran	Agpfsgy
šumske	šumski	Agpfsgy
prometne	prometan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
u	u	Sl
važećim	važeći	Agpmply
programima	program	Ncmpl
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
šumama	šuma	Ncfpi
šumoposjednika	šumoposjednik	Ncmpg
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
korisnika	korisnik	Ncmpg
potpore	potpora	Ncfsg
Savjetodavna	savjetodavan	Agpfsny
služba	služba	Ncfsn
može	moći	Vmr3s
izdati	izdati	Vmn
elaborat	elaborat	Ncmsan
šumskouzgojnih	šumskouzgojan	Agpmpgy
radova	rad	Ncmpg
za	za	Sa
šume	šuma	Ncfpa
šumoposjednika	šumoposjednik	Ncmpg
u	u	Sl
kojem	koji	Pi-msl
predlaže	predlagati	Vmr3s
radove	rad	Ncmpa
izgradnje	izgradnja	Ncfsg
primarne	primaran	Agpfsgy
šumske	šumski	Agpfsgy
prometne	prometan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
,	,	Z
ukoliko	ukoliko	Cs
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
takve	takav	Pd-mpa
radove	rad	Ncmpa
potrebno	potreban	Agpnsny
izvršiti	izvršiti	Vmn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
šumoposjednik	šumoposjednik	Ncmsn
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
upisan	upisati	Appmsnn
u	u	Sa
Upisnik	upisnik	Ncmsan
šumoposjednika	šumoposjednik	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
udruga	udruga	Ncfsn
šumoposjednika	šumoposjednik	Ncmpg
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
registrirana	registrirati	Appnpny
sukladno	sukladan	Agpnsny
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
projekt	projekt	Ncmsn
planira	planirati	Vmr3s
provoditi	provoditi	Vmn
unutar	unutar	Sg
područja	područje	Ncnsg
ekološke	ekološki	Agpfsgy
mreže	mreža	Ncfsg
Natura	natura	Ncfsn
2000	2000	Mdc
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
prije	prije	Sg
početka	početak	Ncmsg
ulaganja	ulaganje	Ncnsg
provesti	provesti	Vmn
postupak	postupak	Ncmsan
ocjene	ocjena	Ncfsg
prihvatljivosti	prihvatljivost	Ncfsg
zahvata	zahvat	Ncmsg
za	za	Sa
ekološku	ekološki	Agpfsay
mrežu	mreža	Ncfsa
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
je	biti	Var3s
taj	taj	Pd-msn
postupak	postupak	Ncmsn
