državnom	državni	Agpnsly
odvjetništvu	odvjetništvo	Ncnsl
.	.	Z

Nepoznatom	nepoznat	Agpmsly
vlasniku	vlasnik	Ncmsl
i	i	Cc
posjedniku	posjednik	Ncmsl
postavit	postaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
privremeni	privremen	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
O	o	Sl
tijeku	tijek	Ncmsl
postupka	postupak	Ncmsg
iz	iz	Sg
članaka	članak	Ncmpg
11.	11.	Mdo
i	i	Cc
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
zapisnik	zapisnik	Ncmsn
u	u	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
unose	unositi	Vmr3p
zaključci	zaključak	Ncmpn
o	o	Sl
rezultatu	rezultat	Ncmsl
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sadržaj	sadržaj	Ncmsn
zaključka	zaključak	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
unosi	unositi	Vmr3s
se	sebe	Px--sa
u	u	Sa
iskaz	iskaz	Ncmsan
zemljišta	zemljište	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
prije	prije	Sg
komasacije	komasacija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
48.	48.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
sporova	spor	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
stranke	stranka	Ncfpn
se	sebe	Px--sa
upućuju	upućivati	Vmr3p
na	na	Sa
raspravljanje	raspravljanje	Ncnsa
sporova	spor	Ncmpg
pred	pred	Si
nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sporovi	spor	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
hitne	hitan	Agpfsgy
naravi	narav	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Do	do	Sg
pravomoćnosti	pravomoćnost	Ncfsg
presude	presuda	Ncfsg
u	u	Sl
sporu	spor	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kao	kao	Cs
sudionici	sudionik	Ncmpn
komasacije	komasacija	Ncfsg
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
zemljišnoknjižni	zemljišnoknjižni	Agpmsny
vlasnik	vlasnik	Ncmsn
i	i	Cc
posjednik	posjednik	Ncmsn
zemljišta	zemljište	Ncnsg
.	.	Z

Članak	članak	Ncmsn
49.	49.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Iskaz	iskaz	Ncmsn
zemljišta	zemljište	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
prije	prije	Sg
komasacije	komasacija	Ncfsg
sadržava	sadržavati	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
zemljištu	zemljište	Ncnsl
koje	koji	Pi-nsn
sudionik	sudionik	Ncmsn
komasacije	komasacija	Ncfsg
unosi	unositi	Vmr3s
u	u	Sa
komasacijsku	komasacijski	Agpfsay
gromadu	gromada	Ncfsa
,	,	Z
prema	prema	Sl
rezultatu	rezultat	Ncmsl
komasacijske	komasacijski	Agpfsgy
procjene	procjena	Ncfsg
i	i	Cc
rezultatu	rezultat	Ncmsl
postupka	postupak	Ncmsg
iz	iz	Sg
članaka	članak	Ncmpg
11.	11.	Mdo
i	i	Cc
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
iskaz	iskaz	Ncmsan
zemljišta	zemljište	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
prije	prije	Sg
komasacije	komasacija	Ncfsg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
:	:	Z

−	i	Agpnsay
ime	ime	Ncnsa
,	,	Z
prezime	prezime	Ncnsa
,	,	Z
prebivalište	prebivalište	Ncnsa
i	i	Cc
osobni	osoban	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
OIB	OIB	Npmsn
)	)	Z
vlasnika	vlasnik	Ncmpg
i	i	Cc
posjednika	posjednik	Ncmpg
zemljišta	zemljište	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
naziv	naziv	Ncmsn
,	,	Z
sjedište	sjedište	Ncnsn
i	i	Cc
OIB	oii	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg

−	i	Agpnsny
za	za	Sa
svaku	svaki	Pi-fsa
katastarsku	katastarski	Agpfsay
česticu	čestica	Ncfsa
:	:	Z
broj	broj	Ncmsn
zemljišnoknjižnoga	zemljišnoknjižni	Agpmsgy
uloška	uložak	Ncmsg
,	,	Z
katastarski	katastarski	Agpmsny
broj	broj	Ncmsn
,	,	Z
površina	površina	Ncfsn
u	u	Sl
m2	ma	Ncfsl
,	,	Z
kultura	kultura	Ncfsn
,	,	Z
rudina	rudina	Ncfpg
,	,	Z
razred	razred	Ncmsn
za	za	Sa
procjenu	procjena	Ncfsa
,	,	Z
vrijednost	vrijednost	Ncfsa
za	za	Sa
procjenu	procjena	Ncfsa
,	,	Z
površine	površina	Ncfsg
i	i	Cc
vrijednosti	vrijednost	Ncfsg
za	za	Sa
procjenu	procjena	Ncfsa
dijelova	dio	Ncmpg
katastarske	katastarski	Agpfsgy
čestice	čestica	Ncfsg
u	u	Sl
pojedinim	pojedini	Agpmply
razredima	razred	Ncmpl
za	za	Sa
procjenu	procjena	Ncfsa

−	−	Z
ukupna	ukupan	Agpfsny
površina	površina	Ncfsn
i	i	Cc
vrijednost	vrijednost	Ncfsn
za	za	Sa
procjenu	procjena	Ncfsa
svih	sav	Agpfpgy
katastarskih	katastarski	Agpfpgy
čestica	čestica	Ncfpg

−	−	Z
ukupna	ukupan	Agpfsny
površina	površina	Ncfsn
i	i	Cc
vrijednost	vrijednost	Ncfsn
za	za	Sa
procjenu	procjena	Ncfsa
svih	sav	Agpfpgy
katastarskih	katastarski	Agpfpgy
čestica	čestica	Ncfpg
u	u	Sl
razredima	razred	Ncmpl
za	za	Sa
procjenu	procjena	Ncfsa

−		Agcfsgy
