simulatorima	simulator	Ncmpd
utvrđeni	utvrditi	Appmpny
u	u	Sl
Prilogu	prilog	Ncmsl
G3	G3	Pi-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
31.	31.	Mdo

U	u	Sl
članku	članak	Ncmsl
89.	89.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
nadležnoj	nadležan	Agpfsly
lučkoj	lučki	Agpfsly
kapetaniji	kapetanija	Ncfsl
i	i	Cc
Ministarstvu	ministarstvo	Ncnsl
«	«	Z
se	sebe	Px--sa
zamjenjuju	zamjenjivati	Vmr3p
riječima	riječ	Ncfpi
»	»	Z
izravnim	izravan	Agpmsiy
unosom	unos	Ncmsi
promjena	promjena	Ncfpg
u	u	Sa
središnju	središnji	Agpfsay
bazu	baza	Ncfsa
podataka	podatak	Ncmpg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
32.	32.	Mdo

U	u	Sl
članku	članak	Ncmsl
90.	90.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
novi	nov	Agpmsayn
stavi	staviti	Vmr3s
3.	3.	Mdo
,	,	Z
4	4	Mdc
i.	i.	Y
5.	5.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
pomorac	pomorac	Ncmsn
može	moći	Vmr3s
ponijeti	ponijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
stjecanje	stjecanje	Ncnsa
predmetne	predmetni	Agpfsgy
svjedodžbe	svjedodžba	Ncfsg
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
i	i	Cc
putem	put	Sg
ovlaštenog	ovlašten	Agpnsgy
pomorskog	pomorski	Agpnsgy
učilišta	učilište	Ncnsg
,	,	Z
posrednika	posrednik	Ncmsg
pri	pri	Sl
zapošljavanju	zapošljavanje	Ncnsl
pomoraca	pomorac	Ncmpg
,	,	Z
te	te	Cc
brodara	brodar	Ncmsg
odnosno	odnosno	Rgp
kompanije	kompanija	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
pomorac	pomorac	Ncmsn
može	moći	Vmr3s
ovlastiti	ovlastiti	Vmn
ovlašteno	ovlašten	Agpnsny
pomorsko	pomorski	Agpnsny
učilište	učilište	Ncnsn
,	,	Z
posrednika	posrednik	Ncmsg
pri	pri	Sl
zapošljavanju	zapošljavanje	Ncnsl
pomoraca	pomorac	Ncmpg
,	,	Z
te	te	Cc
brodara	brodar	Ncmsg
odnosno	odnosno	Rgp
kompanije	kompanija	Ncfsg
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
svjedodžbe	svjedodžba	Ncfsg
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
postupke	postupak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
pomorac	pomorac	Ncmsn
daje	davati	Vmr3s
suglasnost	suglasnost	Ncfsa
svojim	svoj	Px-msi
potpisom	potpis	Ncmsi
na	na	Sl
zahtjevu	zahtjev	Ncmsl
,	,	Z
bez	bez	Sg
obveze	obveza	Ncfsg
ovjere	ovjera	Ncfsg
kod	kod	Sg
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
91.	91.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfpg
»	»	Z
EGP-a	EGP	Npmsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
»	»	Z
odnosno	odnosno	Rgp
trećoj	treći	Mlofsl
državi	država	Ncfsl
s	sa	Si
kojom	koji	Pi-fsi
je	biti	Var3s
sklopljen	sklopiti	Appmsnn
odgovarajući	odgovarajući	Agpmsny
sporazum	sporazum	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
člankom	članak	Ncmsi
113.	113.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
iza	iza	Sg
riječi	riječ	Ncfpg
»	»	Z
EGP	EGP	Npmsn
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
točka	točka	Ncfsn
te	te	Cc
se	sebe	Px--sa
dodaju	dodati	Vmr3p
slijedeće	slijedeći	Agpfpny
riječi	riječ	Ncfpn
»	»	Z
odnosno	odnosno	Rgp
treće	treći	Mlonsn
države	država	Ncfsg
s	sa	Si
kojom	koji	Pi-fsi
je	biti	Var3s
sklopljen	sklopiti	Appmsnn
odgovarajući	odgovarajući	Agpmsny
sporazum	sporazum	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
člankom	članak	Ncmsi
113.	113.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iza	iza	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
novi	nov	Agpmpny
stavci	stavak	Ncmpn
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Ministar	ministar	Ncmsn
može	moći	Vmr3s
posebnom	poseban	Agpfsiy
odlukom	odluka	Ncfsi
priznati	priznati	Vmn
potvrdnice	potvrdnica	Ncfpa
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
iz	iz	Sg
članaka	članak	Ncmpg
73.	73.	Mdo
,	,	Z
74.	74.	Mdo
,	,	Z
75.	75.	Mdo
,	,	Z
76.	76.	Mdo
,	,	Z
77.	77.	Mdo
i	i	Cc
78.	78.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
izdane	izdati	Appfpny
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
treće	treći	Mlofsg
države	država	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
odlučivanja	odlučivanje	Ncnsg
o	o	Sl
priznavanju	priznavanje	Ncnsl
potvrdnica	potvrdnica	Ncfpg
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
može	moći	Vmr3s
obaviti	obaviti	Vmn
i	i	Qo
nadzor	nadzor	Ncmsn
odnosne	odnosni	Agpfsgy
treće	treći	Ncfsg
države	država	Ncfsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
34.	34.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
97.	97.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
iza	iza	Sg
alineje	alineja	Ncfsg
treće	treći	Ncfsg
,	,	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
alineja	alineja	Ncfsn
četvrta	četvrti	Mlofsn
,	,	Z
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
–	–	Z
imati	imati	Vmn
odslušanu	odslušati	Agpfsay
posebnu	poseban	Agpfsay
izobrazbu	izobrazba	Ncfsa
vezano	vezano	Rgp
uz	uz	Sa
smjernice	smjernica	Ncfpa
o	o	Sl
metodama	metoda	Ncfpl
i	i	Cc
postupcima	postupak	Ncmpl
ocjenjivanja	ocjenjivanje	Ncnsg
i	i	Cc
o	o	Sl
praktičnom	praktičan	Agpnsly
iskustvu	iskustvo	Ncnsl
ocjenjivanja	ocjenjivanje	Ncnsg
sukladno	sukladan	Agpnsny
programu	program	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
D28	D2	Npmsg
Pravilnika	Pravilnik	Npmsg
«	«	Z

(	(	Z
2	2	Mdc
)	)	Z
Iza	iza	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
novi	nov	Agpmpny
stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
3	3	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
članka	članak	Ncmsg
97.	97.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
u	u	Sl
pogledu	pogled	Ncmsl
odgovarajuće	odgovarajući	Agpfsgy
izobrazbe	izobrazba	Ncfsg
se	sebe	Px--sa
ne	ne	Qz
odnose	odnositi	Vmr3p
na	na	Sa
svjedodžbu	svjedodžba	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
69.	69.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
