krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
odredba	odredba	Ncfsn
članka	članak	Ncmsg
41.	41.	Mdo
,	,	Z
a	a	Cc
koji	koji	Pi-msn
s	sa	Si
operatorom	operator	Ncmsi
ne	ne	Qz
sklapaju	sklapati	Vmr3p
poseban	poseban	Agpmsann
ugovor	ugovor	Ncmsan
,	,	Z
već	već	Rgp
prihvaćaju	prihvaćati	Vmr3p
opće	opći	Agpmpay
uvjete	uvjet	Ncmpa
operatora	operator	Ncmsg
.	.	Z

Stoga	stoga	Rgp
su	biti	Var3p
u	u	Sl
tom	taj	Pd-msl
kontekstu	kontekst	Ncmsl
bespredmetni	bespredmetan	Agpmpny
argumenti	argument	Ncmpn
tužitelja	tužitelj	Ncmpg
kojima	koji	Pi-mpi
pokušava	pokušavati	Vmr3s
dokazati	dokazati	Vmn
postojanje	postojanje	Ncnsa
razlike	razlika	Ncfsg
u	u	Sl
regulatornoj	regulatoran	Agpfsly
obvezi	obveza	Ncfsl
nadzora	nadzor	Ncmsg
cijena	cijena	Ncfpg
kako	kako	Cs
je	biti	Var3s
određena	odrediti	Appfsny
u	u	Sl
analizi	analiza	Ncfsl
tržišta	tržište	Ncnsg
pristupa	pristup	Ncmsg
,	,	Z
i	i	Cc
kako	kako	Cs
je	biti	Var3s
određena	odrediti	Appfsny
u	u	Sl
analizi	analiza	Ncfsl
tržišta	tržište	Ncnsg
fiksne	fiksan	Agpfsgy
telefonske	telefonski	Agpfsgy
usluge	usluga	Ncfsg
.	.	Z

Vezano	vezan	Agpnsny
za	za	Sa
ovlasti	ovlast	Ncfpa
inspektora	inspektor	Ncmpg
elektroničkih	elektronički	Agpfpgy
komunikacija	komunikacija	Ncfpg
tuženik	tuženik	Ncmsn
ističe	isticati	Vmr3s
kako	kako	Cs
je	biti	Var3s
izreka	izreka	Ncfsn
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
u	u	Sl
potpunosti	potpunost	Ncfsl
sukladna	sukladan	Agpfsny
s	sa	Si
ovlastima	ovlast	Ncfpi
inspektora	inspektor	Ncmpg
elektroničkih	elektronički	Agpfpgy
komunikacija	komunikacija	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
112.	112.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
20.	20.	Mdo
koja	koji	Pi-fsn
propisuje	propisivati	Vmr3s
da	da	Cs
je	biti	Var3s
inspektor	inspektor	Ncmsn
ovlašten	ovlastiti	Appmsnn
narediti	narediti	Vmn
uklanjanje	uklanjanje	Ncnsa
drugih	drugi	Mlofpg
utvrđenih	utvrditi	Appfpgy
nepravilnosti	nepravilnost	Ncfpg
,	,	Z
nedostataka	nedostatak	Ncmpg
ili	ili	Cc
propusta	propust	Ncmpg
u	u	Sl
primjeni	primjena	Ncfsl
ZEK-a	ZEK	Npmsg
.	.	Z

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
svoje	svoj	Px-fpa
ponude	ponuda	Ncfpa
u	u	Sl
postupcima	postupak	Ncmpl
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
sačinio	sačiniti	Vmp-sm
kršeći	kršiti	Rr
regulatornu	regulatoran	Agpfsay
obvezu	obveza	Ncfsa
nadzora	nadzor	Ncmsg
cijena	cijena	Ncfpg
,	,	Z
logično	logično	Rgp
