laboratorijskim	laboratorijski	Agpfpiy
analizama	analiza	Ncfpi
ne	ne	Qz
utvrdi	utvrditi	Vmr3s
njihova	njihov	Ps3fsn
sukladnost	sukladnost	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Inspektori	inspektor	Ncmpn
na	na	Sl
mjestu	mjesto	Ncnsl
počinjenja	počinjenje	Ncnsg
prekršaja	prekršaj	Ncmsg
usmenim	usmen	Agpmsiy
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
,	,	Z
pravnoj	pravni	Agpfsly
ili	ili	Cc
fizičkoj	fizički	Agpfsly
osobi	osoba	Ncfsl
koja	koji	Pi-fsn
stavlja	stavljati	Vmr3s
brašno	brašno	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
ili	ili	Cc
koristi	korist	Ncfsl
ili	ili	Cc
prevozi	prevoziti	Vmr3s
brašno	brašno	Ncnsa
za	za	Sa
koje	koji	Pi-mpa
nije	biti	Var3s
osigurana	osigurati	Appfsny
sljedivost	sljedivost	Ncfsn
ili	ili	Cc
proizvodi	proizvod	Ncmpn
pekarske	pekarski	Agpmpay
proizvode	proizvod	Ncmpa
suprotno	suprotno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
129.	129.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
zabraniti	zabraniti	Vmn
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
unosa	unos	Ncmsg
,	,	Z
trgovine	trgovina	Ncfsg
brašnom	brašno	Ncnsi
ili	ili	Cc
djelatnost	djelatnost	Ncfsn
proizvodnje	proizvodnja	Ncfsg
pekarskih	pekarski	Agpmpgy
i	i	Cc
drugih	drugi	Mlompg
proizvoda	proizvod	Ncmpg
ili	ili	Cc
djelatnost	djelatnost	Ncfsn
prijevoza	prijevoz	Ncmsg
,	,	Z
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
i	i	Cc
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
usmenog	usmen	Agpnsgy
rješenja	rješenje	Ncnsg
o	o	Sl
zabrani	zabrana	Ncfsl
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
izvršiti	izvršiti	Vmn
pečaćenje	pečaćenje	Ncnsa
poslovnih	poslovan	Agpfpgy
prostorija	prostorija	Ncfpg
,	,	Z
onemogućavanjem	onemogućavanje	Ncnsi
korištenja	korištenje	Ncnsg
postrojenja	postrojenje	Ncnsg
,	,	Z
uređaja	uređaj	Ncmpg
i	i	Cc
druge	drugi	Mlofpa
opreme	oprema	Ncfpa
za	za	Sa
rad	rad	Ncmsan
,	,	Z
te	te	Cc
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
donijeti	donijeti	Vmn
pisano	pisan	Agpnsay
rješenje	rješenje	Ncnsa
o	o	Sl
zabrani	zabrana	Ncfsl
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
poslovnim	poslovan	Agpfply
prostorijama	prostorija	Ncfpl
i	i	Cc
prijevoznom	prijevozni	Agpnsly
sredstvu	sredstvo	Ncnsl
nalaze	nalaziti	Vmr3p
pokvarljive	pokvarljiv	Agpfpny
namirnice	namirnica	Ncfpn
,	,	Z
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
ili	ili	Cc
prijevoznik	prijevoznik	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
24	24	Mdc
sata	sat	Ncmsg
od	od	Sg
dana	dan	Ncmpg
pečaćenja	pečaćenje	Ncnsg
poslovnih	poslovan	Agpfpgy
prostorija	prostorija	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
prijevoznog	prijevozni	Agpnsgy
sredstva	sredstvo	Ncnsg
,	,	Z
zatražiti	zatražiti	Vmn
da	da	Cs
se	sebe	Px--sa
zapečaćena	zapečatiti	Appfsny
prostorija	prostorija	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
prijevozno	prijevozni	Agpnsny
sredstvo	sredstvo	Ncnsn
privremeno	privremeno	Rgp
otpečati	otpečatiti	Vmr3s
i	i	Qo
u	u	Sl
nazočnosti	nazočnost	Ncfsl
nadležnog	nadležan	Agpmsgy
inspektora	inspektor	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
iz	iz	Sg
njih	oni	Pp3-pg
će	htjeti	Var3s
se	sebe	Px--sa
odmah	odmah	Rgp
iznijeti	iznijeti	Vmn
pokvarljive	pokvarljiv	Agpfpay
namirnice	namirnica	Ncfpa
,	,	Z
nakon	nakon	Sg
čega	što	Pi3n-g
će	htjeti	Var3s
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
poslovne	poslovan	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
prijevozno	prijevozni	Agpnsny
sredstvo	sredstvo	Ncnsn
ponovno	ponovno	Rgp
zapečatiti	zapečatiti	Vmn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
se	sebe	Px--sa
mjera	mjera	Ncfsn
pečaćenja	pečaćenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
neće	htjeti	Var3s
izvršiti	izvršiti	Vmn
ako	ako	Cs
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
(	(	Z
vlasnik	vlasnik	Ncmsn
)	)	Z
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
usmenog	usmen	Agpnsgy
rješenja	rješenje	Ncnsg
o	o	Sl
zabrani	zabrana	Ncfsl
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsl
dostavi	dostaviti	Vmr3s
inspektoru	inspektor	Ncmsd
ili	ili	Cc
ovlaštenoj	ovlašten	Agpfsly
osobi	osoba	Ncfsl
za	za	Sa
obavljanje	obavljanje	Ncnsa
nadzora	nadzor	Ncmsg
,	,	Z
sukladno	sukladno	Rgp
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
,	,	Z
dokaz	dokaz	Ncmsn
da	da	Cs
su	biti	Var3p
utvrđeni	utvrditi	Appmpny
nedostaci	nedostatak	Ncmpn
otklonjeni	otkloniti	Appmpny
,	,	Z
kao	kao	Cs
i	i	Qo
dokaz	dokaz	Ncmsn
o	o	Sl
izvršenoj	izvršen	Agpfsly
uplati	uplata	Ncfsl
novčanog	novčan	Agpmsgy
iznosa	iznos	Ncmsg
od	od	Sg
30.000	30.000	Mdc
kuna	kuna	Ncfpg
u	u	Sa
korist	korist	Ncfsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

U	u	Sl
protivnom	protivan	Agpmsly
,	,	Z
rješenje	rješenje	Ncnsn
će	htjeti	Var3s
se	sebe	Px--sa
provesti	provesti	Vmn
pečaćenjem	pečaćenje	Ncnsi
sljedeći	sljedeći	Agpmsayn
radni	radni	Agpmsayn
dan	dan	Ncmsan
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
dostavu	dostava	Ncfsa
propisanih	propisati	Agpmpgy
dokaza	dokaz	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
inspektor	inspektor	Ncmsn
će	htjeti	Var3s
u	u	Sl
zapisniku	zapisnik	Ncmsl
konstatirati	konstatirati	Vmn
da	da	Cs
su	biti	Var3p
prestali	prestati	Vmp-pm
razlozi	razlog	Ncmpn
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
i	i	Cc
pečaćenja	pečaćenje	Ncnsg
poslovnog	poslovan	Agpmsgy
objekta	objekt	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Inspektor	inspektor	Ncmsn
u	u	Sl
obavljanju	obavljanje	Ncnsl
službene	služben	Agpfsgy
kontrole	kontrola	Ncfsg
ima	imati	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
dužnost	dužnost	Ncfsn
narediti	narediti	Vmn
izvršenje	izvršenje	Ncnsa
usmenog	usmen	Agpnsgy
rješenja	rješenje	Ncnsg
odmah	odmah	Rgp
uručenjem	uručenje	Ncnsi
zapisnika	zapisnik	Ncmpg
.	.	Z

Usmeno	usmen	Agpnsny
rješenje	rješenje	Ncnsn
unosi	unositi	Vmr3s
se	sebe	Px--sa
u	u	Sa
zapisnik	zapisnik	Ncmsan
po	po	Sl
izvršenoj	izvršen	Agpfsly
službenoj	služben	Agpfsly
