takvom	takav	Pd-nsl
stanju	stanje	Ncnsl
može	moći	Vmr3s
počiniti	počiniti	Vmn
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
.	.	Z

Odnosi	odnos	Ncmpn
između	između	Sg
optuženika	optuženik	Ncmpg
i	i	Cc
ošt	oša	Ncfsg
.	.	Z

Jasmine	Jasmine	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Špernoga	Npfsn
i	i	Cc
članova	član	Ncmpg
njene	njen	Agpfpny
obitelji	obitelj	Ncfpn
nisu	biti	Var3p
bili	biti	Vap-pm
dobri	dobar	Agpmpny
.	.	Z
lnkriminirajuće	lnkriminirajući	Agpfpay
radnje	radnja	Ncfpa
optuženika	optuženik	Ncmpg
kritične	kritičan	Agpfsgy
zgode	zgoda	Ncfsg
nisu	biti	Var3p
poduzete	poduzeti	Appfpny
zbog	zbog	Sg
njegove	njegov	Ps3fsg
alkoholiziranosti	alkoholiziranost	Ncfsg
i	i	Cc
njegovih	njegov	Ps3mpg
inače	inače	Rgp
prisutnih	prisutan	Agpfpgy
fizičkih	fizički	Agpfpgy
i	i	Cc
psihičkih	psihički	Agpfpgy
tegoba	tegoba	Ncfpg
,	,	Z
što	što	Pi3n-n
bi	biti	Vaa3s
sve	sav	Agpnsny
dovelo	dovesti	Vmp-sn
o	o	Sl
naprečac	naprečac	Rgp
donesenoj	donesen	Agpfsly
odluci	odluka	Ncfsl
u	u	Sl
stanju	stanje	Ncnsl
smanjene	smanjiti	Agpfsgy
ubrojivosti	ubrojivost	Ncfsg
,	,	Z
nego	nego	Cc
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
hladnokrvnom	hladnokrvan	Agpnsly
postupanju	postupanje	Ncnsl
s	sa	Si
ciljem	cilj	Ncmsi
–	–	Z
primarno	primarno	Rgp
–	i	Agpnsgy
traženja	traženje	Ncnsg
da	da	Cs
ošt	ošt	Ncmsn
.	.	Z

Jasmina	Jasmina	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Špernoga	Npfsn
s	sa	Si
njim	on	Pp3msi
nastavi	nastaviti	Vmr3s
zajednički	zajednički	Agpmsayn
život	život	Ncmsan
i	i	Cc
sekundarno	sekundarno	Rgp
–	–	Z
s	sa	Si
ciljem	cilj	Ncmsi
odmazde	odmazda	Ncfsg
.	.	Z

Postupanje	postupanje	Ncnsn
optuženika	optuženik	Ncmpg
iz	iz	Sg
odmazde	odmazda	Ncfsg
u	u	Sl
istoj	isti	Agpfsly
prilici	prilika	Ncfsl
protegnulo	protegnuti	Vmp-sn
se	sebe	Px--sa
na	na	Sa
sve	sav	Agpfpay
osobe	osoba	Ncfpa
zatečene	zateći	Appfpay
u	u	Sl
kući	kuća	Ncfsl
ošt	ošt	Ncmsan
.	.	Z

Miloša	Miloš	Npmsay
Ognjenovića	Ognjenović	Npmsay
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
optuženik	optuženik	Ncmsn
je	biti	Var3s
oživotvorio	oživotvoriti	Vmp-sm
svoje	svoj	Px-fpa
prijetnje	prijetnja	Ncfpa
(	(	Z
'	'	Z
kupati	kupati	Vmn
ćeš	htjeti	Var2s
se	sebe	Px--sa
u	u	Sl
suzama	suza	Ncfpl
'	'	Z
)	)	Z
da	da	Cs
će	htjeti	Var3s
lišiti	lišiti	Vmn
života	život	Ncmsg
ošt	oš	Ncmpg
.	.	Z

Jasminu	jasmin	Ncmsd
Mišković	Mišković	Npmsn
Špernoga	Šperni	Npmsay
i	i	Cc
ošt	ošt	Ncmsan
.	.	Z

Miloša	Miloš	Npmsay
Ognjenovića	Ognjenović	Npmsay
.	.	Z

Pokretanjem	pokretanje	Ncnsi
prekršajnog	prekršajni	Agpmsgy
postupka	postupak	Ncmsg
od	od	Sg
strane	strana	Ncfsg
ošt	oša	Ncfsg
.	.	Z

Jasmine	Jasmine	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Šperni	Npmsay
te	te	Cc
ispitivanjem	ispitivanje	Ncnsi
svjedoka	svjedok	Ncmpg
ošt	oša	Ncfsg
.	.	Z

Miloša	Miloš	Npmsay
Ognjenovića	Ognjenović	Npmsay
i	i	Cc
mlt	mlt	Ncmsan
.	.	Z

Lj.	Lj.	Y

F.	F.	Sa
dva	dva	Mlc
dana	dan	Ncmsg
uoči	uoči	Sg
inkriminacije	inkriminacija	Ncfsg
,	,	Z
optuženik	optuženik	Ncmsn
je	biti	Var3s
osjetio	osjetiti	Vmp-sm
kao	kao	Cs
snažnu	snažan	Agpfsay
